epoch;accuracy;loss;lr;val_accuracy;val_loss
0;0.3958333432674408;1.9030952453613281;0.1;0.3214285671710968;16859878400.0
1;0.1666666716337204;2.4520764350891113;0.1;0.3214285671710968;6484050.5
2;0.3125;1.6494232416152954;0.1;0.1071428582072258;109424.6328125
3;0.2291666716337204;1.8080854415893555;0.1;0.3214285671710968;11932.0341796875
4;0.2291666716337204;1.748998999595642;0.1;0.3214285671710968;1677.4703369140625
5;0.3958333432674408;1.601473331451416;0.1;0.3214285671710968;334.0996398925781
6;0.2916666567325592;1.5843682289123535;0.1;0.3214285671710968;57.62601852416992
7;0.375;1.3885130882263184;0.1;0.3214285671710968;13.128249168395996
8;0.3958333432674408;1.3743023872375488;0.1;0.3214285671710968;19.16238021850586
9;0.3958333432674408;1.4770742654800415;0.1;0.3571428656578064;1.7889333963394165
10;0.4166666567325592;1.4757866859436035;0.1;0.3214285671710968;4.194705486297607
